City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,vanimo,-2.6848,141.3009,298.37,88,100,1.71,PG,1682011512
1,albany,-35.0248,117.8836,287.1,56,5,3.19,AU,1682011512
2,mar del plata,-37.9977,-57.5483,295.88,53,0,5.66,AR,1682011512
3,saint george,32.3764,-64.6893,295.17,69,40,5.14,BM,1682011512
4,jiddah,21.581,39.1654,305.1,31,0,4.12,SA,1682011338
5,butaritari,2.9205,172.9189,301.21,78,40,3.99,KI,1682011512
6,lebu,-37.61,-73.6559,289.65,74,48,4.69,CL,1682011512
7,minas,-34.3774,-55.2382,292.86,44,7,2.28,UY,1682011512
8,hilo,19.7074,-155.0816,299.01,78,0,2.57,US,1682011512
9,butaritari,2.9205,172.9189,301.21,78,40,3.99,KI,1682011512
10,leningradskiy,54.1291,79.2367,274.03,48,26,3.23,RU,1682011513
11,vardo,70.3308,30.9618,275.53,87,0,11.32,NO,1682011513
12,illoqqortoormiut,70.4851,-21.9642,266.33,82,100,4.25,GL,1682011513
13,odweyne,9.407,45.0636,302.84,32,43,3.8,SO,1682011513
14,chake chake,-5.244,39.7685,299.0,84,97,3.03,TZ,1682011513
15,bredasdorp,-34.5331,20.0428,286.71,67,72,6.61,ZA,1682011513
16,jamestown,-15.9277,-5.7161,296.09,82,5,8.12,SH,1682011513
17,punta arenas,-53.1626,-70.9078,281.31,87,100,5.66,CL,1682011513
18,rantepao,-2.9705,119.8987,293.01,99,100,0.86,ID,1682011513
19,wynyard,51.7667,-104.1833,270.14,86,100,5.66,CA,1682011514
20,esil,51.9602,66.4089,276.3,63,57,4.71,KZ,1682011514
21,khandyga,62.6478,135.5751,263.1,97,76,0.48,RU,1682011514
22,norman wells,65.2824,-126.8327,265.17,62,0,1.03,CA,1682011514
23,attawapiskat,52.9244,-82.427,270.15,59,0,4.63,CA,1682011514
24,matay,28.4177,30.7862,296.98,21,0,5.52,EG,1682011514
25,novopavlovka,49.1132,41.0369,284.94,65,100,4.63,RU,1682011514
26,nizhneyansk,71.4404,136.1306,252.27,100,26,4.49,RU,1682011514
27,hilo,19.7074,-155.0816,299.01,78,0,2.57,US,1682011512
28,bykovo,55.6312,38.0762,285.58,37,0,2.0,RU,1682011514
29,mar del plata,-37.9977,-57.5483,295.88,53,0,5.66,AR,1682011512
30,illoqqortoormiut,70.4851,-21.9642,266.33,82,100,4.25,GL,1682011513
31,busselton,-33.6445,115.3489,287.54,58,6,2.95,AU,1682011515
32,hermanus,-34.4175,19.2361,286.95,69,62,7.4,ZA,1682011515
33,umm kaddadah,13.6002,26.6893,305.8,8,0,5.83,SD,1682011515
34,qaanaaq,77.4686,-69.2223,261.35,76,98,2.75,GL,1682011515
35,ushuaia,-54.8061,-68.3185,281.98,49,75,2.06,AR,1682011515
36,luwuk,-0.9528,122.788,298.75,90,96,0.86,ID,1682011515
37,illoqqortoormiut,70.4851,-21.9642,266.33,82,100,4.25,GL,1682011513
38,punta arenas,-53.1626,-70.9078,281.31,87,100,5.66,CL,1682011513
39,hilo,19.7074,-155.0816,299.01,78,0,2.57,US,1682011512
40,marcona,-15.2155,-75.083,296.52,54,3,3.14,PE,1682011515
41,siloam springs,36.1881,-94.5405,296.26,73,100,8.23,US,1682011246
42,tsihombe,-25.3185,45.4841,297.2,78,7,2.27,MG,1682011515
43,bambey,14.6955,-16.4493,311.18,22,44,9.1,SN,1682011515
44,hobart,-42.8825,147.3281,289.37,74,100,8.23,AU,1682011337
45,vaini,-21.1926,-175.1773,297.31,88,20,5.14,TO,1682011516
46,urumqi,43.4198,87.3195,271.12,40,12,0.84,CN,1682011516
47,port alfred,-33.5982,26.8915,291.51,73,99,7.15,ZA,1682011516
48,skagastrond,65.8233,-20.3006,280.85,69,14,5.36,IS,1682011516
49,port blair,11.6645,92.739,300.17,77,5,3.31,IN,1682011516
50,hithadhoo,1.7959,73.3876,301.17,75,76,2.11,MV,1682011517
51,dikson,73.5084,80.5124,258.75,95,23,4.3,RU,1682011517
52,georgetown,-7.929,-14.4134,300.59,75,79,6.94,SH,1682011517
53,coquimbo,-29.9532,-71.338,291.08,67,75,3.6,CL,1682011517
54,thompson,55.7433,-97.8635,272.25,55,75,7.2,CA,1682011517
55,rankovce,42.1686,22.1166,286.49,70,13,3.13,MK,1682011517
56,dunedin,-45.8741,170.5036,283.04,92,100,1.27,NZ,1682011518
57,busselton,-33.6445,115.3489,287.54,58,6,2.95,AU,1682011515
58,puerto ayora,-0.7472,-90.3134,303.49,87,88,3.58,EC,1682011518
59,muscat,23.6152,58.5912,302.17,60,60,3.28,OM,1682011518
60,cabo san lucas,22.8939,-109.9201,303.38,69,20,2.06,MX,1682011518
61,airai,7.3599,134.5601,297.37,94,75,1.54,PW,1682011518
62,carnarvon,-24.8826,113.6576,296.72,42,52,4.48,AU,1682011518
63,quesnel,52.9794,-122.4936,278.55,52,0,2.06,CA,1682011518
64,langsa,4.4731,97.9682,297.7,94,100,0.79,ID,1682011519
65,srednekolymsk,67.4555,153.7071,271.94,99,100,2.88,RU,1682011519
66,saint george,32.3764,-64.6893,295.17,69,40,5.14,BM,1682011512
67,hobart,-42.8825,147.3281,289.37,74,100,8.23,AU,1682011337
68,codrington,17.6405,-61.8255,298.92,72,0,6.81,AG,1682011519
69,ushuaia,-54.8061,-68.3185,281.98,49,75,2.06,AR,1682011515
